구분,Customer,Customer2,Location,Fab,IDM/Foundry,Country,Region,Origin,D/R,Device1,Device2,Device3,Grade,Grade1,Grade2,Team,사업,22.1Q,22.2Q,22.3Q,22.4Q,23.1Q,23.2Q,23.3Q,23.4Q,24.1Q,24.2Q,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,26.1Q,26.2Q,26.3Q,26.4Q,27.1Q,27.2Q,27.3Q,27.4Q,28.1Q,28.2Q,28.3Q,28.4Q
거래고객,ICRD,ICRD,Shanghai,Fab1,Foundry,China,China,China,28,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,1,3,3,5,5,7,10,10,10,15,15,20,20,25,25,30,30,30,35,35,35,35,40,40,40,40,40,40
거래고객,ICRD,ICRD,Shanghai,Fab1,Foundry,China,China,China,,CIS,BSI,CIS,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2
거래고객,GalaxyCore,GalaxyCore,Shanghai,Fab1,IDM,China,China,China,55nm,CIS,BSI,CIS,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,5,10,12,12,12,30,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
미거래고객,Wingtech,Wingtech,Shanghai,Fab1,IDM,China,China,China,55nm,Analog,Power,Analog,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,1,8,14,18,24,29,32,35,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
미거래고객,Wingtech,Wingtech,Shanghai,Fab1,IDM,China,China,China,55nm,CIS,BSI,CIS,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,0,1,3,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
미거래고객,Wingtech,Wingtech,Shanghai,Fab1,IDM,China,China,China,65nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,0,1,3,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
거래고객,YMTC,YMTC,Wuhan,fab1,IDM,China,China,China,"64L,128L",NAND,NAND,Memory,PW,Prime,Polished,중국법인,메모리,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
거래고객,YMTC,YMTC,Wuhan,fab2,IDM,China,China,China,"128L,192L",NAND,NAND,Memory,PW,Prime,Polished,중국법인,메모리,0,0,0,0,0,0,0,0,0,0,10,10,10,10,20,40,60,80,100,100,100,100,100,100,100,100,100,100
거래고객,XMC,XMC,Wuhan,Fab A,Foundry,China,China,China,55nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
거래고객,XMC,XMC,Wuhan,Fab A,Foundry,China,China,China,55nm,Logic,Logic,Logic,PW,Prime,Polished,중국법인,비메모리,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
거래고객,XMC,XMC,,,Foundry,China,China,China,,CIS,BSI,CIS,EPI,EPI,Epitaxial,중국법인,비메모리,5,5,6,6,8,10,12,14,16,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
거래고객,SMIC,SMIC,Beijing,Fab2 B1,Foundry,China,China,China,55~90nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
거래고객,SMIC,SMIC,Beijing,Fab2 B1,Foundry,China,China,China,90nm,CIS,FSI/MCU,CIS,EPI,EPI,Epitaxial,중국법인,비메모리,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
거래고객,SMIC,SMIC,Beijing,Fab2 B1,Foundry,China,China,China,90nm,Logic,Logic,Logic,PW,Prime,Polished,중국법인,비메모리,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
거래고객,SMIC,SMNC,Beijing,Fab2 B2,Foundry,China,China,China,,CIS,BSI,CIS,EPI,EPI,Epitaxial,중국법인,비메모리,3,3,5,5,10,10,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
거래고객,SMIC,SMNC,Beijing,Fab2 B2,Foundry,China,China,China,28~40nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,53,53,53,53,55,55,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
거래고객,SMIC,SMBC,Beijing,FAB2 B3,Foundry,China,China,China,28nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,0,0,0,0,5,5,10,10,15,20,25,25,30,40,50,50,60,65,70,75,90,105,120,135,155
거래고객,SMIC,SMOC,Shanghai,Fab9,Foundry,China,China,China,55~90nm,Analog,,Analog,PW,Prime,Polished,중국법인,비메모리,0,0,0,0,0,0,2,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
거래고객,SMIC,SMOC,Shanghai,Fab9,Foundry,China,China,China,55~90nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,0,0,0,0,0,5,15,25,30,30,35,35,40,40,45,45,50,55,60,60,65,80,92,92,92
거래고객,SMIC,SMIC,Shanghai,Fab1(연구소),Foundry,China,China,China,28~40nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
거래고객,SMIC,SMSC,Shanghai,Fab8,Foundry,China,China,China,14~28nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,20,20,20,20,25,25,25,25,25,25,30,30,30,30,30,30,30,30,35,35,35,35,35,35,40,40,40,40
거래고객,SMIC,SMIC,Shenzhen,Fab6,Foundry,China,China,China,55~90nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,5,5,10,10,20,20,30,30,30,30,30,30,32,32,32,32,32,32,32,32,35,35,35,35,35,35,35,35
거래고객,SMIC,SMIC,Tianjin,New Fab,Foundry,China,China,China,28nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,15,15,20,25,30,30,35,40
거래고객,SMIC,UNT,Shaoxing,,Foundry,China,China,China,,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,0,5,15,45,60,80,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
거래고객,Nexchip,Nexchip,Hefei,Fab 12M,Foundry,China,China,China,25,Logic,LDI,Logic,PW,Prime,Polished,중국법인,비메모리,25,25,25,25,35,35,45,45,50,50,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
거래고객,Nexchip,Nexchip,Hefei,Fab 12M,Foundry,China,China,China,55,CIS,BSI,CIS,EPI,EPI,Epitaxial,중국법인,비메모리,20,20,20,20,25,25,25,25,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
거래고객,JHICC,JHICC,fujian,Fab1,IDM,China,China,China,,DRAM,DRAM,Memory,PW,Prime,Polished,중국법인,메모리,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
거래고객,HUALI,Huali,Shanghai,Fab 5,Foundry,China,China,China,55nm,CIS,BSI,CIS,EPI,EPI,Epitaxial,중국법인,비메모리,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
거래고객,HUALI,Huali,Shanghai,Fab 5,Foundry,China,China,China,40/55nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
거래고객,HUALI,HLIC,Shanghai,Fab 6,Foundry,China,China,China,28/40nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
거래고객,HUALI,HLIC,Shanghai,Fab 8,Foundry,China,China,China,22/28nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,10,15,15,20,20,25,25
거래고객,HUALI,HLIC,Chengdu,Fab 10,Foundry,China,China,China,22/28nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,10,15,15,20,20,20,20,25,25,25,25
거래고객,HH-Grace,HHGrace,Wuxi,Fab7,Foundry,China,China,China,65~90nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
거래고객,HH-Grace,HHGrace,Wuxi,Fab7,Foundry,China,China,China,55~90nm,CIS,FSI,CIS,EPI,EPI,Epitaxial,중국법인,비메모리,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
거래고객,HH-Grace,HHGrace,Wuxi,Fab7,Foundry,China,China,China,,Analog,,Analog,PW,Prime,Polished,중국법인,비메모리,25,25,25,25,25,25,30,35,35,35,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
거래고객,HH-Grace,HHGrace,Wuxi,Fab9,Foundry,China,China,China,,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10
거래고객,HH-Grace,HHGrace,Wuxi,Fab9,Foundry,China,China,China,,CIS,FSI,CIS,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,10,10,10,10,10,10,10,10,10
거래고객,HH-Grace,HHGrace,Wuxi,Fab9,Foundry,China,China,China,,Analog,,Analog,PW,Prime,Polished,중국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15,15,20,20,20,20,20,20,20,20,20
거래고객,CXMT,CXMT,Hefei,Fab1,IDM,China,China,China,,DRAM,DRAM,Memory,PW,Prime,Polished,중국법인,메모리,65,75,80,80,80,80,80,80,85,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
거래고객,CXMT,CXXQ,Hefei,Fab2,IDM,China,China,China,,DRAM,DRAM,Memory,PW,Prime,Polished,중국법인,메모리,0,0,0,0,0,0,0,0,5,10,20,20,25,30,30,30,30,30,30,40,50,50,60,70,70,70,70,70
거래고객,CXMT,CXJD,Beijing,CXJD,IDM,China,China,China,,DRAM,DRAM,Memory,PW,Prime,Polished,중국법인,메모리,0,5,10,15,15,15,15,20,30,40,40,70,75,80,85,90,95,100,100,100,100,100,100,100,100,100,100,100
거래고객,CXMT,,,,IDM,China,China,China,,CIS,BSI,CIS,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
거래고객,CANsemi,CANsemi,Guangzhou,Fab 1,IDM,China,China,China,,Logic,Logic,Logic,PW,Prime,Polished,중국법인,비메모리,8,9,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
거래고객,CANsemi,CANsemi,Guangzhou,Fab 1,IDM,China,China,China,,Analog,Power,Analog,EPI,EPI,Epitaxial,중국법인,비메모리,9,11,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
거래고객,CANsemi,CANsemi,Guangzhou,Fab 1,IDM,China,China,China,Sensor용,CIS,FSI,CIS,EPI,EPI,Epitaxial,중국법인,비메모리,8,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
거래고객,CANsemi,CANsemi,Guangzhou,Fab 2,IDM,China,China,China,,Discrete,Discrete,Discrete,PW,Prime,Polished,중국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,2,5,7,7,10,10,12,12,15,15,17,17,20,20,20,20,20
거래고객,CANsemi,CANsemi,Guangzhou,Fab 2,IDM,China,China,China,,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,3,5,8,8,10,10,13,13,15,15,18,18,20,20,20,20,20
거래고객,CXT,CXT,Wuhan,,Foundry,China,China,China,,CIS,BSI,CIS,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,0,0,0,1,3,3,5,7,10,12,15,17,20,20,20,20,20,20,20,20,20,25,30,35,40
거래고객,CSMC,Runpeng,Shenzhen,Runpeng,Foundry,China,China,China,,Logic,Logic,Logic,EPI,EPI,Epitaxial,중국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15,20,30,30,35,40,40,40,40,40,40,40,40,40
거래고객,USJC,USJC,Mie,Fab 1,Foundry,Japan,Japan,Taiwan,60,CIS,CIS,CIS,EPI,EPI,Epitaxial,대만지사,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
거래고객,USJC,USJC,Mie,Fab 2,Foundry,Japan,Japan,Taiwan,90,Logic,Logic,Logic,EPI,EPI,Epitaxial,대만지사,비메모리,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
거래고객,USJC,USJC,Mie,Fab 2,Foundry,Japan,Japan,Taiwan,-,Logic,Logic,Logic,PW,Anneal,Annealed,대만지사,비메모리,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
거래고객,USJC,USJC,Mie,Fab 2,Foundry,Japan,Japan,Taiwan,65/55,Logic,Logic,Logic,EPI,EPI,Epitaxial,대만지사,비메모리,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
거래고객,Micron,MMJ,Hiroshima,Fab 15,IDM,Japan,Japan,USA,25/20,DRAM,DRAM,Memory,PW,Prime,Polished,일본법인,메모리,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
거래고객,Micron,MMJ,Hiroshima,New,IDM,Japan,Japan,USA,25/20,DRAM,DRAM,Memory,PW,Prime,Polished,일본법인,메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,20,20,20,20
거래고객,Renesas,Renesas,Hitachinaka,Naka2,IDM,Japan,Japan,Japan,65~130,Logic,Logic,Logic,PW,Prime,Polished,일본법인,비메모리,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
거래고객,Renesas,Renesas,Hitachinaka,Naka2,IDM,Japan,Japan,Japan,65~130,Logic,Logic,Logic,EPI,EPI,Epitaxial,일본법인,비메모리,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
거래고객,Renesas,Renesas,Hitachinaka,Kofu,IDM,Japan,Japan,Japan,65~130,Discrete,Discrete,Discrete,PW,Prime,Polished,일본법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,4,4,4,4,6,6,6,6
거래고객,Renesas,Renesas,Hitachinaka,Kofu,IDM,Japan,Japan,Japan,65~130,Discrete,Discrete,Discrete,EPI,EPI,Epitaxial,일본법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,1,1,1,1,1,2,2,2,2,2,2,2,2
거래고객,ROHM,Rohm,-,Hamamatsu,IDM,Japan,Japan,Japan,90~180,Logic,Logic,Logic,EPI,EPI,Epitaxial,일본법인,비메모리,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
거래고객,ROHM,Rohm,-,Hamamatsu,IDM,Japan,Japan,Japan,90~180,Logic,Logic,Logic,PW,Prime,Polished,일본법인,비메모리,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
거래고객,SONY,Sony,Kumamoto ,"Tec 1,2",IDM,Japan,Japan,Japan,60~90,CIS,BSI,CIS,PW,Prime,Polished,일본법인,비메모리,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919,23.18918919
거래고객,SONY,Sony,Nagasaki ,"Fab 2,3,4",IDM,Japan,Japan,Japan,60~90,CIS,BSI,CIS,EPI,EPI,Epitaxial,일본법인,비메모리,19.32432432,19.32432432,19.62837838,19.7972973,19.86486486,19.93243243,20,20.06756757,20.2027027,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
거래고객,SONY,Sony,Tsuruoka ,Tsuruoka Plant,IDM,Japan,Japan,Japan,60~90,CIS,BSI,CIS,PW,Prime,Polished,일본법인,비메모리,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892,30.91891892
거래고객,SONY,Sony,Oita,-,IDM,Japan,Japan,Japan,90,CIS,BSI,CIS,PW,Anneal,Annealed,일본법인,비메모리,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459,11.59459459
거래고객,SONY,Sony,Nagasaki,"Fab 2,3,4",IDM,Japan,Japan,Japan,,CIS,BSI,CIS,PW,Prime,Polished,일본법인,비메모리,30.91891892,30.91891892,32.86486486,33.94594595,34.37837838,34.81081081,35.24324324,35.67567568,36.54054054,32.74324324,33.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324,34.74324324
거래고객,SONY,Sony,Oita,-,IDM,Japan,Japan,Japan,-,Logic,Logic,Logic,PW,Prime,Polished,일본법인,비메모리,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405,27.05405405
거래고객,Globalfoundries,Globalfoundries,New York,Fab 8,Foundry,USA,USA,USA,14nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,유럽지사,비메모리,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
거래고객,Globalfoundries,Globalfoundries,New York,Fab 8,Foundry,USA,USA,USA,14nm,Logic,Logic,Logic,PW,SOI,SOI,유럽지사,비메모리,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
거래고객,Globalfoundries,Globalfoundries,New York,Fab 8_New,Foundry,USA,USA,USA,14/28nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,유럽지사,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,10,10,10,10
거래고객,Globalfoundries,Globalfoundries,New York,Fab 8_New,Foundry,USA,USA,USA,14/28nm,Logic,Logic,Logic,PW,SOI,SOI,유럽지사,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5
거래고객,Kioxia,Kioxia,Yokkaichi,Y3~Y6,IDM,Japan,Japan,Japan,15nm / 2D,NAND,NAND,Memory,PW,Prime,Polished,일본법인,메모리,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
